url,name,region,coatOfArms,words,titles,seats,currentLord,heir,overlord,founded,founder,diedOut,ancestralWeapons,cadetBranches,swornMembers
https://www.anapioficeandfire.com/api/houses/2,House Allyrion of Godsgrace,Dorne,"Gyronny Gules and Sable, a hand couped Or",No Foe May Pass,[],['Godsgrace'],https://www.anapioficeandfire.com/api/characters/298,https://www.anapioficeandfire.com/api/characters/1922,https://www.anapioficeandfire.com/api/houses/285,,,,[],[],"['https://www.anapioficeandfire.com/api/characters/298', 'https://www.anapioficeandfire.com/api/characters/1129', 'https://www.anapioficeandfire.com/api/characters/1301', 'https://www.anapioficeandfire.com/api/characters/1922']"
https://www.anapioficeandfire.com/api/houses/4,House Ambrose,The Reach,"Or, semy of ants gules",Never Resting,[],[],https://www.anapioficeandfire.com/api/characters/141,,https://www.anapioficeandfire.com/api/houses/398,,,,[],[],"['https://www.anapioficeandfire.com/api/characters/82', 'https://www.anapioficeandfire.com/api/characters/102', 'https://www.anapioficeandfire.com/api/characters/141', 'https://www.anapioficeandfire.com/api/characters/152', 'https://www.anapioficeandfire.com/api/characters/344']"
https://www.anapioficeandfire.com/api/houses/7,House Arryn of the Eyrie,The Vale,"A sky-blue falcon soaring against a white moon, on a sky-blue field(Bleu celeste, upon a plate a falcon volant of the field)",As High as Honor,"['King of Mountain and Vale (formerly)', 'Lord of the Eyrie', 'Defender of the Vale', 'Warden of the East']","['The Eyrie (summer)', 'Gates of the Moon (winter)']",https://www.anapioficeandfire.com/api/characters/894,https://www.anapioficeandfire.com/api/characters/477,https://www.anapioficeandfire.com/api/houses/16,Coming of the Andals,https://www.anapioficeandfire.com/api/characters/144,,[],['https://www.anapioficeandfire.com/api/houses/6'],"['https://www.anapioficeandfire.com/api/characters/49', 'https://www.anapioficeandfire.com/api/characters/92', 'https://www.anapioficeandfire.com/api/characters/93', 'https://www.anapioficeandfire.com/api/characters/107', 'https://www.anapioficeandfire.com/api/characters/223', 'https://www.anapioficeandfire.com/api/characters/265', 'https://www.anapioficeandfire.com/api/characters/300', 'https://www.anapioficeandfire.com/api/characters/356', 'https://www.anapioficeandfire.com/api/characters/477', 'https://www.anapioficeandfire.com/api/characters/508', 'https://www.anapioficeandfire.com/api/characters/540', 'https://www.anapioficeandfire.com/api/characters/548', 'https://www.anapioficeandfire.com/api/characters/558', 'https://www.anapioficeandfire.com/api/characters/572', 'https://www.anapioficeandfire.com/api/characters/688', 'https://www.anapioficeandfire.com/api/characters/894', 'https://www.anapioficeandfire.com/api/characters/1068', 'https://www.anapioficeandfire.com/api/characters/1193', 'https://www.anapioficeandfire.com/api/characters/1280', 'https://www.anapioficeandfire.com/api/characters/1443', 'https://www.anapioficeandfire.com/api/characters/1655', 'https://www.anapioficeandfire.com/api/characters/1693', 'https://www.anapioficeandfire.com/api/characters/1715', 'https://www.anapioficeandfire.com/api/characters/1884']"
https://www.anapioficeandfire.com/api/houses/8,House Ashford of Ashford,The Reach,"Tenny, a sun in splendour beneath a chevron inverted argent",Our Sun Shines Bright,['Lord of Ashford'],['Ashford'],,,https://www.anapioficeandfire.com/api/houses/398,,,,[],[],"['https://www.anapioficeandfire.com/api/characters/121', 'https://www.anapioficeandfire.com/api/characters/641', 'https://www.anapioficeandfire.com/api/characters/895', 'https://www.anapioficeandfire.com/api/characters/1812']"
https://www.anapioficeandfire.com/api/houses/17,House Baratheon of Storm's End,The Stormlands,"A black crowned stag, on a gold field(Or, a stag salient, crowned, sable)",Ours is the Fury,"[""Lord of Storm's End"", 'Lord Paramount of the Stormlands']","[""Storm's End"", 'Dragonstone (House Baratheon of Dragonstone)']",https://www.anapioficeandfire.com/api/characters/1029,https://www.anapioficeandfire.com/api/characters/775,https://www.anapioficeandfire.com/api/houses/16,1 AC,https://www.anapioficeandfire.com/api/characters/797,,[],"['https://www.anapioficeandfire.com/api/houses/15', 'https://www.anapioficeandfire.com/api/houses/16']","['https://www.anapioficeandfire.com/api/characters/110', 'https://www.anapioficeandfire.com/api/characters/128', 'https://www.anapioficeandfire.com/api/characters/216', 'https://www.anapioficeandfire.com/api/characters/230', 'https://www.anapioficeandfire.com/api/characters/249', 'https://www.anapioficeandfire.com/api/characters/315', 'https://www.anapioficeandfire.com/api/characters/435', 'https://www.anapioficeandfire.com/api/characters/679', 'https://www.anapioficeandfire.com/api/characters/794', 'https://www.anapioficeandfire.com/api/characters/797', 'https://www.anapioficeandfire.com/api/characters/862', 'https://www.anapioficeandfire.com/api/characters/870', 'https://www.anapioficeandfire.com/api/characters/986', 'https://www.anapioficeandfire.com/api/characters/1044', 'https://www.anapioficeandfire.com/api/characters/1188', 'https://www.anapioficeandfire.com/api/characters/1233', 'https://www.anapioficeandfire.com/api/characters/1355', 'https://www.anapioficeandfire.com/api/characters/1473', 'https://www.anapioficeandfire.com/api/characters/1552']"
https://www.anapioficeandfire.com/api/houses/18,House Beesbury of Honeyholt,The Reach,"Paly or and sable, on a pale of the last three beehives of the first",Beware our Sting,[],['Honeyholt'],https://www.anapioficeandfire.com/api/characters/1103,,https://www.anapioficeandfire.com/api/houses/195,,https://www.anapioficeandfire.com/api/characters/366,,[],[],"['https://www.anapioficeandfire.com/api/characters/94', 'https://www.anapioficeandfire.com/api/characters/187', 'https://www.anapioficeandfire.com/api/characters/193', 'https://www.anapioficeandfire.com/api/characters/366', 'https://www.anapioficeandfire.com/api/characters/509', 'https://www.anapioficeandfire.com/api/characters/513', 'https://www.anapioficeandfire.com/api/characters/549', 'https://www.anapioficeandfire.com/api/characters/671', 'https://www.anapioficeandfire.com/api/characters/1103']"
https://www.anapioficeandfire.com/api/houses/34,House Bolton of the Dreadfort,The North,A red flayed man on pink de sang,Our Blades are Sharp,"['Red King (Age of Heroes)', 'Lord of the Dreadfort', 'Warden of the North']",['The Dreadfort'],https://www.anapioficeandfire.com/api/characters/933,https://www.anapioficeandfire.com/api/characters/849,https://www.anapioficeandfire.com/api/houses/16,Age of Heroes,,,[],[],"['https://www.anapioficeandfire.com/api/characters/196', 'https://www.anapioficeandfire.com/api/characters/314', 'https://www.anapioficeandfire.com/api/characters/849', 'https://www.anapioficeandfire.com/api/characters/933', 'https://www.anapioficeandfire.com/api/characters/1084', 'https://www.anapioficeandfire.com/api/characters/1159', 'https://www.anapioficeandfire.com/api/characters/1208', 'https://www.anapioficeandfire.com/api/characters/1313', 'https://www.anapioficeandfire.com/api/characters/1329', 'https://www.anapioficeandfire.com/api/characters/1452', 'https://www.anapioficeandfire.com/api/characters/1492', 'https://www.anapioficeandfire.com/api/characters/1648', 'https://www.anapioficeandfire.com/api/characters/1747', 'https://www.anapioficeandfire.com/api/characters/1949', 'https://www.anapioficeandfire.com/api/characters/2077']"
https://www.anapioficeandfire.com/api/houses/51,House Buckwell of the Antlers,The Crownlands,"A rack of golden antlers, on a field of vair(Vair, a stag's attire or)",Pride and Purpose,['Lord of the Antlers'],['the Antlers'],,,https://www.anapioficeandfire.com/api/houses/16,,,,[],[],['https://www.anapioficeandfire.com/api/characters/537']
https://www.anapioficeandfire.com/api/houses/52,House Bulwer of Blackcrown,The Reach,"Sanguine, a bull`s skull argent",Death Before Disgrace,[],['Blackcrown'],https://www.anapioficeandfire.com/api/characters/100,,https://www.anapioficeandfire.com/api/houses/195,,,,[],[],"['https://www.anapioficeandfire.com/api/characters/100', 'https://www.anapioficeandfire.com/api/characters/224', 'https://www.anapioficeandfire.com/api/characters/575']"
https://www.anapioficeandfire.com/api/houses/60,House Caron of Nightsong,The Stormlands,"A field of black nightingales on yellow(Or, semé of nightingales sable)",No Song so Sweet,"['Lord of the Marches', 'Lord of Nightsong']",['Nightsong'],https://www.anapioficeandfire.com/api/characters/925,,https://www.anapioficeandfire.com/api/houses/15,,,,[],[],"['https://www.anapioficeandfire.com/api/characters/220', 'https://www.anapioficeandfire.com/api/characters/221', 'https://www.anapioficeandfire.com/api/characters/769', 'https://www.anapioficeandfire.com/api/characters/816', 'https://www.anapioficeandfire.com/api/characters/925']"
